ResourceId,metric,timestamp,average,maximum,minimum
i-065f44c8424f75256,CPUUtilization,2025-10-28 06:47:00+00:00,0.09041656386621107,0.1499950001666611,0.0749138490735654
i-065f44c8424f75256,CPUUtilization,2025-10-28 11:47:00+00:00,0.08902630691490829,0.1666500016665,0.0416833400026677
i-065f44c8424f75256,CPUUtilization,2025-10-28 01:47:00+00:00,0.09110650533503074,0.1583069488418597,0.0749238274421005
i-065f44c8424f75256,CPUUtilization,2025-10-27 15:47:00+00:00,0.08971927486253148,0.19999999999999998,0.041665972233796096
i-065f44c8424f75256,CPUUtilization,2025-10-27 20:47:00+00:00,0.19055358267298217,6.024799173360888,0.0333327777870368
i-065f44c8424f75256,CPUUtilization,2025-10-28 09:47:00+00:00,0.0873611203238858,0.15001500150014999,0.0333333333333333
i-065f44c8424f75256,CPUUtilization,2025-10-27 10:47:00+00:00,0.09055859252462246,0.2083333333333333,0.0416278140402291
i-065f44c8424f75256,CPUUtilization,2025-10-27 09:47:00+00:00,0.32075752051793016,13.920629889735933,0.041624348578944696
i-065f44c8424f75256,CPUUtilization,2025-10-27 14:47:00+00:00,0.09069361079963098,0.20813907020114558,0.0333333333333333
i-065f44c8424f75256,CPUUtilization,2025-10-28 08:47:00+00:00,0.08791480431656468,0.1583333333333333,0.049999999999999996
i-065f44c8424f75256,CPUUtilization,2025-10-27 22:47:00+00:00,0.09152788634231722,0.2166702778379639,0.0416666666666666
i-065f44c8424f75256,CPUUtilization,2025-10-28 03:47:00+00:00,0.09014191262968235,0.158465387823186,0.0416312800785998
i-065f44c8424f75256,CPUUtilization,2025-10-27 12:47:00+00:00,0.09194467343019344,0.2083333333333333,0.0499991666805553
i-065f44c8424f75256,CPUUtilization,2025-10-27 17:47:00+00:00,0.08917181865778855,0.1585950151082619,0.049954208642078
i-065f44c8424f75256,CPUUtilization,2025-10-27 21:47:00+00:00,0.09249753342563474,0.15833597226620438,0.0749300652724124
i-065f44c8424f75256,CPUUtilization,2025-10-28 10:47:00+00:00,0.0898618837247711,0.1583227784814345,0.0583304168124927
i-065f44c8424f75256,CPUUtilization,2025-10-27 11:47:00+00:00,0.08902587022011295,0.2085175238127012,0.0333338888981483
i-065f44c8424f75256,CPUUtilization,2025-10-27 16:47:00+00:00,0.09152883413852833,0.1584759616988623,0.0583333333333333
i-065f44c8424f75256,CPUUtilization,2025-10-28 05:47:00+00:00,0.0953343917308271,0.501002004008016,0.0749375520399667
